
AKCJA:buy;WALUTA:USD;ILOSC:5.0;TYLE DOSTANIESZ:1.1125203310688438;CENA:4.49429988861084;DATA:28/02/2023 10:37:18
AKCJA:buy;WALUTA:USD;ILOSC:88.0;TYLE DOSTANIESZ:19.580357826811653;CENA:4.49429988861084;DATA:28/02/2023 10:37:21
AKCJA:buy;WALUTA:USD;ILOSC:5454.0;TYLE DOSTANIESZ:1213.5371771298949;CENA:4.49429988861084;DATA:28/02/2023 11:01:02
AKCJA:buy;WALUTA:USD;ILOSC:454.0;TYLE DOSTANIESZ:101.01684606105103;CENA:4.49429988861084;DATA:28/02/2023 11:01:05
AKCJA:buy;WALUTA:USD;ILOSC:8787.0;TYLE DOSTANIESZ:1955.1432298203863;CENA:4.49429988861084;DATA:28/02/2023 11:01:08
AKCJA:sell;WALUTA:USD;ILOSC:5454.0;TYLE DOSTANIESZ:24026.506965637207;CENA:4.405300140380859;DATA:28/02/2023 11:01:30
AKCJA:sell;WALUTA:USD;ILOSC:54.0;TYLE DOSTANIESZ:237.8862075805664;CENA:4.405300140380859;DATA:28/02/2023 11:01:33
AKCJA:sell;WALUTA:USD;ILOSC:1.0;TYLE DOSTANIESZ:4.405300140380859;CENA:4.405300140380859;DATA:28/02/2023 11:01:34
AKCJA:buy;WALUTA:JPY;ILOSC:555.0;TYLE DOSTANIESZ:16791.214351333663;CENA:0.03305299952626228;DATA:28/02/2023 11:02:40
AKCJA:buy;WALUTA:JPY;ILOSC:544.0;TYLE DOSTANIESZ:16458.415508334256;CENA:0.03305299952626228;DATA:28/02/2023 11:02:43
AKCJA:sell;WALUTA:JPY;ILOSC:555.0;TYLE DOSTANIESZ:17.98144429922104;CENA:0.032398998737335205;DATA:28/02/2023 11:02:47
AKCJA:sell;WALUTA:JPY;ILOSC:444.0;TYLE DOSTANIESZ:14.385155439376831;CENA:0.032398998737335205;DATA:28/02/2023 11:02:50
AKCJA:buy;WALUTA:USD;ILOSC:5.0;TYLE DOSTANIESZ:1.1125203310688438;CENA:4.49429988861084;DATA:28/02/2023 11:13:23
AKCJA:sell;WALUTA:USD;ILOSC:1.0;TYLE DOSTANIESZ:4.405300140380859;CENA:4.405300140380859;DATA:28/02/2023 11:13:26
AKCJA:buy;WALUTA:USD;ILOSC:5.0;TYLE DOSTANIESZ:1.117917993731584;CENA:4.472599983215332;DATA:01/03/2023 12:39:12
AKCJA:buy;WALUTA:USD;ILOSC:5.0;TYLE DOSTANIESZ:1.117917993731584;CENA:4.472599983215332;DATA:01/03/2023 12:41:07
AKCJA:sell;WALUTA:USD;ILOSC:5.0;TYLE DOSTANIESZ:21.91999912261963;CENA:4.383999824523926;DATA:01/03/2023 12:41:10
AKCJA:buy;WALUTA:USD;ILOSC:460.0;TYLE DOSTANIESZ:102.84845542330572;CENA:4.472599983215332;DATA:01/03/2023 12:45:53
AKCJA:sell;WALUTA:USD;ILOSC:460.0;TYLE DOSTANIESZ:2016.6399192810059;CENA:4.383999824523926;DATA:01/03/2023 12:46:03
AKCJA:buy;WALUTA:USD;ILOSC:5;TYLE DOSTANIESZ:1.12;CENA:4.4726;DATA:01/03/2023 13:13:46
AKCJA:buy;WALUTA:USD;ILOSC:5;TYLE DOSTANIESZ:1.12;CENA:4.4726;DATA:01/03/2023 13:15:35
AKCJA:sell;WALUTA:USD;ILOSC:1.12;TYLE DOSTANIESZ:5;CENA:4.3840;DATA:01/03/2023 13:15:41
AKCJA:buy;WALUTA:USD;ILOSC:5;TYLE DOSTANIESZ:1.12;CENA:4.4726;DATA:01/03/2023 13:16:08
AKCJA:sell;WALUTA:USD;ILOSC:1.12;TYLE DOSTANIESZ:4.92;CENA:4.3840;DATA:01/03/2023 13:16:12
AKCJA:buy;WALUTA:USD;ILOSC:5;TYLE DOSTANIESZ:1.20;CENA:4.1680;DATA:17/05/2023 23:18:20
AKCJA:buy;WALUTA:USD;ILOSC:1;TYLE DOSTANIESZ:0.24;CENA:4.1680;DATA:17/05/2023 23:18:24
AKCJA:sell;WALUTA:USD;ILOSC:5;TYLE DOSTANIESZ:20.43;CENA:4.0854;DATA:17/05/2023 23:18:28
AKCJA:sell;WALUTA:USD;ILOSC:51;TYLE DOSTANIESZ:208.36;CENA:4.0854;DATA:17/05/2023 23:18:31
